sheet,days,hole,par,white_yds,pin_lat,pin_lon,green_center_lat,green_center_lon,green_front_lat,green_front_lon,green_back_lat,green_back_lon,paces_from_front,side,paces_from_side,label,green_depth_yd,green_width_yd
C,Thu / Fri,6,5,473,35.5282546,-92.0371931,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,30,L,6,30 L6,36,22
C,Thu / Fri,15,5,473,35.5282546,-92.0371931,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,30,L,6,30 L6,36,22
C,Thu / Fri,7,4,374,35.5278739,-92.0369173,35.5278,-92.03685,35.5276664,-92.036821,35.5279336,-92.036879,26,L,5,26 L5,33,21
C,Thu / Fri,16,4,374,35.5278739,-92.0369173,35.5278,-92.03685,35.5276664,-92.036821,35.5279336,-92.036879,26,L,5,26 L5,33,21
C,Thu / Fri,8,5,448,35.5267254,-92.0363126,35.5268,-92.0364,35.526939,-92.0364458,35.526661,-92.0363542,29,L,6,29 L6,35,22
C,Thu / Fri,17,5,448,35.5267254,-92.0363126,35.5268,-92.0364,35.526939,-92.0364458,35.526661,-92.0363542,29,L,6,29 L6,35,22
C,Thu / Fri,9,3,153,35.5256466,-92.0379554,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,22,L,5,22 L5,28,18
C,Thu / Fri,18,3,153,35.5256466,-92.0379554,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,22,L,5,22 L5,28,18
D,Sat / Events,1,4,267,35.5268803,-92.0373545,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,9,R,6,9 R6,30,20
D,Sat / Events,10,4,267,35.5268803,-92.0373545,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,9,R,6,9 R6,30,20
D,Sat / Events,2,3,116,35.5261826,-92.0378047,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,9,R,5,9 R5,28,18
D,Sat / Events,11,3,116,35.5261826,-92.0378047,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,9,R,5,9 R5,28,18
D,Sat / Events,3,4,361,35.5275047,-92.0362371,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,13,R,4,13 R4,34,22
D,Sat / Events,12,4,361,35.5275047,-92.0362371,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,13,R,4,13 R4,34,22
D,Sat / Events,4,3,174,35.5271205,-92.0356277,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,9,R,6,9 R6,30,20
D,Sat / Events,13,3,174,35.5271205,-92.0356277,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,9,R,6,9 R6,30,20
D,Sat / Events,5,4,358,35.526556,-92.0357422,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,13,R,3,13 R3,32,21
D,Sat / Events,14,4,358,35.526556,-92.0357422,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,13,R,3,13 R3,32,21
D,Sat / Events,6,5,473,35.5281036,-92.037107,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,13,R,5,13 R5,36,22
D,Sat / Events,15,5,473,35.5281036,-92.037107,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,13,R,5,13 R5,36,22
D,Sat / Events,7,4,374,35.5277776,-92.0367733,35.5278,-92.03685,35.5276664,-92.036821,35.5279336,-92.036879,12,R,7,12 R7,33,21
D,Sat / Events,16,4,374,35.5277776,-92.0367733,35.5278,-92.03685,35.5276664,-92.036821,35.5279336,-92.036879,12,R,7,12 R7,33,21
D,Sat / Events,8,5,448,35.5268392,-92.0364547,35.5268,-92.0364,35.526939,-92.0364458,35.526661,-92.0363542,12,R,4,12 R4,35,22
D,Sat / Events,17,5,448,35.5268392,-92.0364547,35.5268,-92.0364,35.526939,-92.0364458,35.526661,-92.0363542,12,R,4,12 R4,35,22
D,Sat / Events,9,3,153,35.5257762,-92.0379685,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,9,R,5,9 R5,28,18
D,Sat / Events,18,3,153,35.5257762,-92.0379685,35.52572,-92.03795,35.5258197,-92.0378793,35.5256203,-92.0380207,9,R,5,9 R5,28,18
